Gene,ADS,DAGS,CDAS,CAIS
pncA,0.1945,0.0655,0.5287,0.2147
mce2C,0.1667,0.1795,0.1401,0.1651
pyrG,0.05,0.0564,0.2803,0.064
hisC2,0.1667,0.1795,0.1401,0.1651
argH,0.25,0.3846,0.0,0.2349
pks8,0.0357,0.033,0.4204,0.059
mez,0.25,0.2821,0.0701,0.2391
PE1,0.1667,0.1795,0.1401,0.1651
lppN,0.25,0.3846,0.0,0.2349
psd,0.5,0.5897,0.0,0.4697
serA2,0.5,0.5897,0.0,0.4697
katG,0.1,0.0359,0.6306,0.1321
sseB,0.5,0.5897,0.0,0.4697
ppsD,0.0625,0.0769,0.2102,0.0715
TB18.6,0.25,0.3846,0.0,0.2349
mmaA4,0.5,0.4872,0.0701,0.4739
ppm1,0.125,0.1795,0.0701,0.1217
ligC,0.125,0.1795,0.0701,0.1217
iniA,0.25,0.2821,0.0701,0.2391
mmpL8,0.3125,0.1282,0.2102,0.3062
galE2,0.0833,0.1111,0.1401,0.0868
pflA,0.25,0.1795,0.1401,0.2433
PE4,0.0833,0.1111,0.1401,0.0868
lpqP,0.125,0.1795,0.0701,0.1217
xylB,0.375,0.2821,0.0701,0.3564
arsC,0.0625,0.0769,0.2102,0.0715
pks2,0.1,0.0974,0.2803,0.1109
glgB,0.375,0.1282,0.1975,0.364
mmpL12,0.1136,0.0303,0.6624,0.1468
lhr,0.0833,0.0427,0.5287,0.1103
mce2A,0.0833,0.1111,0.1401,0.0868
rpoB,0.0682,0.0303,0.7006,0.1065
pmmB,0.3333,0.1795,0.1401,0.3215
bioF1,0.625,0.4872,0.0701,0.5912
deaD,0.25,0.1795,0.1401,0.2433
eccA1,0.15,0.0974,0.2803,0.1579
narX,0.1875,0.1282,0.2102,0.1888
pks5,0.1945,0.0427,0.5287,0.2147
fadD34,0.25,0.1282,0.1975,0.2467
embC,0.2,0.0974,0.2803,0.2048
dosT,0.0625,0.0769,0.2102,0.0715
dppA,0.2083,0.0769,0.3312,0.2157
lysX,0.1,0.0564,0.2803,0.1109
atsD,0.125,0.1282,0.2102,0.1302
pstP,0.375,0.1282,0.2102,0.3648
glgP,0.125,0.1282,0.2102,0.1302
cobN,0.05,0.0564,0.2803,0.064
embB,0.3056,0.1567,0.5287,0.319
ligD,0.1,0.0564,0.2803,0.1109
eccA2,0.0417,0.0427,0.3312,0.0593
eccB1,0.05,0.0564,0.2803,0.064
fhaA,0.0,0.0037,0.4204,0.0255
eno,0.5,0.2821,0.0701,0.4737
trpG,0.4167,0.3162,0.1401,0.3998
pknG,0.4167,0.3162,0.1274,0.3991
ctpI,0.1667,0.0769,0.3503,0.1778
cyp144,0.15,0.0564,0.2803,0.1578
rpoC,0.0625,0.0256,0.7325,0.1031
eccC3,0.0833,0.0769,0.3312,0.0983
ppsE,0.15,0.0974,0.2611,0.1567
ribG,0.5,0.2821,0.0701,0.4737
pks1,0.0833,0.0427,0.3503,0.0995
papA1,0.15,0.0974,0.2803,0.1579
lppA,0.125,0.1282,0.2102,0.1302
dnaQ,0.4167,0.1795,0.1401,0.3997
pheT,0.125,0.0427,0.3503,0.1386
gid,0.0227,0.0117,0.6624,0.0615
gyrA,0.1428,0.0623,0.3949,0.158
fas,0.2,0.0974,0.2803,0.2048
ubiA,0.1428,0.0623,0.3949,0.158
plcB,0.0833,0.0427,0.3503,0.0995
pks7,0.1,0.0359,0.5987,0.1302
fadD7,0.75,0.7949,0.0,0.7045
ctpV,0.1875,0.1282,0.2102,0.1888
polA,0.375,0.3846,0.0701,0.3565
rpfC,1.0,1.0,0.0,0.9393
carB,0.1667,0.0769,0.3312,0.1766
eccE1,0.25,0.1282,0.2102,0.2475
oppA,0.375,0.3846,0.0701,0.3565
lppD,0.1,0.0974,0.2611,0.1098
ppsA,0.125,0.0513,0.465,0.1456
hisI,1.0,1.0,0.0,0.9393
pknA,0.625,0.5897,0.0701,0.5913
pks12,0.0312,0.0,1.0,0.09
fadD15,0.4167,0.1795,0.1401,0.3997
ureA,0.0,0.1795,0.4076,0.0249
murF,0.0,0.1795,0.4076,0.0249
argJ,0.0,0.1795,0.4076,0.0249
desA3,1.0,1.0,0.4076,0.9641
rpsF,0.25,0.2821,0.879,0.2882
